date,close,open,high,low,var
2012-03-28,1662.18,1679.6,1684.41,1654.5,-0.01
2012-03-29,1661.38,1661.44,1665.29,1644.89,0
2012-03-30,1668.9,1660.94,1671.11,1659.3,0
2012-04-02,1677.75,1668.05,1680.09,1675.7,0.01
2012-04-03,1645.33,1676.09,1681.16,1638.74,-0.02
2012-04-04,1620.23,1644.14,1648.15,1611.8,-0.02
2012-04-05,1631.25,1619.75,1633.67,1619.54,0.01
2012-04-06,1639.49,1627.44,1639.49,1626.99,0.01
2012-04-09,1641.28,1640.94,1649,1627.2,0
2012-04-10,1660.35,1640.63,1663.1,1631.7,0.01
2012-04-11,1657.95,1658.99,1662.9,1652.94,0
2012-04-12,1675.48,1658.64,1680.2,1650.79,0.01
2012-04-13,1659,1674.94,1678.31,1648.9,-0.01
2012-04-16,1652.1,1653.59,1657.8,1640.64,0
2012-04-17,1649.9,1652.29,1657.71,1634.44,0
2012-04-18,1642.07,1649.24,1656.05,1637.29,0
2012-04-19,1643.6,1641.49,1655,1630.8,0
2012-04-20,1642.7,1642.94,1647.31,1638.34,0
2012-04-23,1638.7,1641.44,1644.9,1619.99,0
2012-04-24,1641,1638.14,1649.52,1633.34,0
2012-04-25,1644.7,1640.84,1646.53,1623.9,0
2012-04-26,1656.9,1643.98,1662.6,1641.15,0.01
2012-04-27,1662.05,1656.54,1667.72,1649.94,0
